"Incorrect value for Product Category field.","Falscher Wert für Produktkategorie-Feld."
"Incorrect value for Currency field.","Falscher Wert für Währungsfeld."
"Incorrect value for Country field.","Falscher Wert für Länderfeld."
"Incorrect value for Last Name field.","Falscher Wert für Nachname Feld."
"Incorrect value for First Name field.","Falscher Wert für Vorname Feld."
"Incorrect value for Phone Number field.","Falscher Wert für Telefonnummernfeld."
"Incorrect value for Email field.","Falscher Wert für E-Mail-Feld."
"Could not register an account. Please, check the form was filled out correctly.","Konnte kein Konto registrieren. Bitte überprüfen Sie, ob das Formular korrekt ausgefüllt wurde."
"Account already exists. Please, authorize.","Konto existiert bereits. Bitte, autorisieren."
"Account successfully registered.","Konto erfolgreich registriert."
"Incorrect value for API Key.","Falscher Wert für API Key."
"Incorrect value for API Secret.","Falscher Wert für API Secret."
"Incorrect value for Product Category.","Falscher Wert für Produktkategorie."
"Could not create a store.","Konnte kein Geschäft erstellen."
"Store successfully created.","Speicher erfolgreich erstellt."
"Incorrect value for Secret Key field.","Falscher Wert für Secret Key field."
"Incorrect value for Store Key field.","Falscher Wert für Store Key field."
"Could not export product feed.","Produktfutter konnte nicht exportiert werden."
"Product feed successfully exported to PersonaClick.","Produkt-Feed erfolgreich in PersonaClick exportiert."
"Could not export orders.","Konnte keine Aufträge exportieren."
"%s out of %s orders successfully exported to PersonaClick.","%s von %s aufträgen erfolgreich nach PersonaClick exportiert."
"%s orders successfully exported to PersonaClick.","%s aufträge erfolgreich nach PersonaClick exportiert."
"No available orders for export.","Keine verfügbaren Aufträge für den Export."
"Could not export customers.","Kunden konnten nicht exportieren."
"%s out of %s customers successfully exported to PersonaClick.","%s von %s Kunden erfolgreich nach PersonaClick exportiert."
"%s customers successfully exported to PersonaClick.","%s kunden erfolgreich nach PersonaClick exportiert."
"No available customers for export.","Keine verfügbaren Kunden für den Export."
"%s successfully loaded.","%s erfolgreich geladen."
"Could not load %s.","Konnte nicht laden %s."
"You May Also Like","Sie können auch mögen"
"Frequently Bought Together","Wird oft zusammen gekauft"
"Similar Products","Ähnliche Produkte"
"Popular Products","Beliebte Produkte"
"Recommended For You","Für dich empfohlen"
"You Recently Viewed","Du hast dir zuletzt angesehen"
"Trending Products","Trending Produkte"
"Customers Who Looked For This Item Also Bought","Kunden, die diesen Artikel gesucht haben, wurden auch gekauft"
"Regular Purchase","Regelmäßiger Kauf"
Name,Name
Status,Status
"Export XML Product Feed","Exportieren Sie XML Product Feed"
Repeat,Wiederholen
"Export Orders","Exportaufträge"
"Export Customers","Export Kunden"
"Load manifest.json","Load manifest.json"
"Load push_sw.js","Load push_sw.js"
Authorize,Autorisieren
Register,Neu registrieren
"Go to your PersonaClick store dashboard to get the access to:","Go to your PersonaClick store dashboard to get the access to:"
"Triggered emails","Triggered emails"
"Email marketing tool","Email marketing tool"
"Personalized search","Personalized search"
"Web push triggered notifications","Web push triggered notifications"
"Instant web push notifications","Instant web push notifications"
"Audience segmentation","Audience segmentation"
"Abandoned cart remarketing tool","Abandoned cart remarketing tool"
"PersonaClick dashboard","PersonaClick dashboard"
Documentation:,Dokumentation:
https://docs.PersonaClick.com/display/en/Magento+2.x+Extension,https://docs.PersonaClick.com/display/en/Magento+2.x+Extension
Support:,Unterstützung:
Send,Senden
More,Mehr
"Add to Cart","In den Warenkorb legen"
"In stock","Auf Lager"
"Out of stock","Ausverkauft"
"Add to Wish List","Zur Wunschliste hinzufügen"
"Add to Compare","Hinzufügen zum vergleichen"
"Learn More","Erfahren Sie mehr"
Availability,Verfügbarkeit
PersonaClick,PersonaClick
Settings,Einstellungen
"Authorization Form","Berechtigungsformular"
"To authorize, please log in on PersonaClick.com and copy & paste Store Key and Secret Key from Store Settings (Dashboard > Settings > Store Settings) to the fields below.","Um zu autorisieren, melden Sie sich bitte bei PersonaClick.com an und kopieren und fügen Sie Store Key und Secret Key aus Store Settings (Dashboard > Einstellungen > Store Settings) in die unten stehenden Felder ein."
"Store Key","Store Key"
"Secret Key","Secret Key"
"Registration Form","Anmeldeformular"
"To register, please fill out the form below. Authorization, in this case, is performed automatically.","Um sich zu registrieren, füllen Sie bitte das untenstehende Formular aus. Die Autorisierung wird in diesem Fall automatisch durchgeführt."
Email,Email
"Phone Number","Telefonnummer"
"First Name","Vorname"
"Last Name","Nachname"
Country,Land
Currency,Währung
"Product Category","Produktkategorie"
General,General
"Created Order Status","Erstellungsstatus"
"Completed Order Status","Abgeschlossener Bestellstatus"
"Cancelled Order Status","Abgebrochener Bestellstatus"
"Cron XML","Cron XML"
Logging,Protokollierung
Actions,Aktionen
"PersonaClick Recommendations","PersonaClick Empfehlungen"
"PersonaClick Product Recommendations Block","PersonaClick Produkt Empfehlungen Block"
"Block Type","Blocktyp"
"Block Title","Titel blockieren"
"Product Limit","Produktgrenze"
"Recommendation Block Template","Empfehlung Blockvorlage"
"PersonaClick Basic Template","PersonaClick Grundvorlage"
"Products Grid Template","Produkte Rasterschablone"
"Products List Template","Produktliste Vorlage"
"Products Images and Names List Template","Produkte Bilder und Namen Liste Vorlage"
"Products Images Only List Template","Produkte Bilder Nur Listenvorlage"
"Products Names Only List Template","Produkte nennt nur Listenvorlage"
"Show Only Special Offers","Nur Angebote anzeigen"
"Show Only Products of Following Brands","Zeigen Sie nur Produkte der folgenden Marken"
"Exclude Products of Following Brands","Produkte aus folgenden Marken ausschließen"
