"Incorrect value for Product Category field.","Ошибка в поле Товарная категория."
"Incorrect value for Currency field.","Ошибка в поле Валюта."
"Incorrect value for Country field.","Ошибка в поле Страна."
"Incorrect value for Last Name field.","Ошибка в поле Фамилия."
"Incorrect value for First Name field.","Ошибка в поле Имя."
"Incorrect value for Phone Number field.","Ошибка в поле Телефон."
"Incorrect value for Email field.","Ошибка в поле Email."
"Could not register an account. Please, check the form was filled out correctly.","Ошибка во время создания аккаунта в PersonaClick. Проверьте правильность заполнения полей."
"Account already exists. Please, authorize.","Вы уже зарегистрированы в PersonaClick. Пожалуйста, авторизуйтесь."
"Account successfully registered.","Аккаунт в PersonaClick успешно создан."
"Incorrect value for API Key.","Ошибка в поле API Key."
"Incorrect value for API Secret.","Ошибка в поле API Secret."
"Incorrect value for Product Category.","Ошибка в поле Товарная категория."
"Could not create a store.","Ошибка создания магазина."
"Store successfully created.","Магазин успешно создан."
"Incorrect value for Secret Key field.","Ошибка в поле Секретный ключ."
"Incorrect value for Store Key field.","Ошибка в поле Код магазина."
"Could not export product feed.","Ошибка экспорта YML-ссылки."
"Product feed successfully exported to PersonaClick.","Экспорт YML-ссылки успешно произведен."
"Could not export orders.","Ошибка экспорта заказов в PersonaClick."
"%s out of %s orders successfully exported to PersonaClick.","Заказы успешно экспортированы в PersonaClick (%s из %s)."
"%s orders successfully exported to PersonaClick.","Заказы успешно экспортированы в PersonaClick (%s)."
"No available orders for export.","Нет доступных для экспорта заказов."
"Could not export customers.","Ошибка экспорта покупателей в PersonaClick."
"%s out of %s customers successfully exported to PersonaClick.","Покупатели успешно экспортированы в PersonaClick (%s из %s)."
"%s customers successfully exported to PersonaClick.","Покупатели успешно экспортированы в PersonaClick (%s)."
"No available customers for export.","Нет доступных для экспорта покупателей."
"%s successfully loaded.","Файл %s успешно загружен."
"Could not load %s.","Не удалось загрузить файл %s."
"You May Also Like","Возможно, вам это понравится"
"Frequently Bought Together","С этим товаром покупают"
"Similar Products","Похожие товары"
"Popular Products","Популярные товары"
"Recommended For You","Посмотрите также"
"You Recently Viewed","Вы недавно смотрели"
"Trending Products","Прямо сейчас покупают"
"Customers Who Looked For This Item Also Bought","Пользователи, искавшие этот товар, также купили"
"Regular Purchase","У вас скоро закончатся"
Name,Название
Status,Статус
"Export XML Product Feed","Экспорт YML-ссылки"
Repeat,Повторить
"Export Orders","Экспорт заказов"
"Export Customers","Экспорт покупателей"
"Load manifest.json","Загрузка файла manifest.json"
"Load push_sw.js","Загрузка файла push_sw.js"
Authorize,Авторизация
Register,Регистрация
"Go to your PersonaClick store dashboard to get the access to:","Перейдите в панель настроек магазина PersonaClick, чтобы получить доступ и настроить:"
"Triggered emails","триггерные имейлы"
"Email marketing tool","дайджестные имейлы"
"Personalized search","персонализированный поиск"
"Web push triggered notifications","веб-пуш триггеры"
"Instant web push notifications","веб-пуш рассылки"
"Audience segmentation","сегментацию аудитории"
"Abandoned cart remarketing tool","ремаркетинг брошенных корзин"
"PersonaClick dashboard","Панель настроек PersonaClick"
Documentation:,Документация:
https://docs.PersonaClick.com/display/en/Magento+2.x+Extension,https://docs.PersonaClick.com/display/R46D/Magento+2
Support:,Поддержка:
Send,Отправить
More,Подробнее
"Add to Cart","Добавить в корзину"
"In stock","Есть в наличии"
"Out of stock","Нет в наличии"
"Add to Wish List","Добавить в закладки"
"Add to Compare","Добавить в сравнение"
"Learn More","Подробнее"
Availability,Наличие
PersonaClick,PersonaClick
Settings,Настройки
"Authorization Form","Форма авторизации"
"To authorize, please log in on PersonaClick.com and copy & paste Store Key and Secret Key from Store Settings (Dashboard > Settings > Store Settings) to the fields below.","Для авторизации магазина скопируйте Код магазина и Секретный ключ из настроек магазина в вашем аккаунте в PersonaClick (Панель управления > Настройки > Настройки магазина)."
"Store Key","Код магазина"
"Secret Key","Секретный ключ"
"Registration Form","Форма регистрации"
"To register, please fill out the form below. Authorization, in this case, is performed automatically.","Для регистрации, пожалуйста, заполните нижеприведенную форму. Авторизация в этом случае выполняется автоматически."
Email,Email
"Phone Number","Телефон"
"First Name","Имя"
"Last Name","Фамилия"
Country,Страна
Currency,Валюта
"Product Category","Товарная категория"
General,Общее
"Created Order Status","Статус нового заказа"
"Completed Order Status","Статус завершенного заказа"
"Cancelled Order Status","Статус отмененного заказа"
"Cron XML","Cron XML"
Logging,Логирование
Actions,Действия
"PersonaClick Recommendations","PersonaClick Recommendations"
"PersonaClick Product Recommendations Block","Блок товарных рекомендаций"
"Block Type","Тип блока"
"Block Title","Заголовок блока"
"Product Limit","Лимит товаров"
"Recommendation Block Template","Шаблон блока товаров"
"PersonaClick Basic Template","Базовый шаблон PersonaClick"
"Products Grid Template","Шаблон сетки товаров"
"Products List Template","Шаблон списка товаров"
"Products Images and Names List Template","Шаблон списка с названием и изображением"
"Products Images Only List Template","Шаблон списка с изображением"
"Products Names Only List Template","Шаблон списка с названием"
"Show Only Special Offers","Только акционные товары"
"Show Only Products of Following Brands","Товары только этих брендов"
"Exclude Products of Following Brands","Исключить товары этих брендов"
